date,top10_gross,change_YD,change_LW,releases,title,daily_gross,scrape_date
Oct 19,15866399,-32.2%,-6.7%,44,Black Phone 2,6632890,2025-12-21
Oct 18,23389905,+6.8%,+1.9%,44,Black Phone 2,9673145,2025-12-21
Oct 17,21902090,+483.9%,-11.3%,43,Black Phone 2,11026005,2025-12-21
Oct 16,3751151,-21.8%,+15.4%,38,Tron: Ares,1501319,2025-12-21
Oct 15,4799880,-37.1%,+12.5%,39,Tron: Ares,1857994,2025-12-21
Oct 14,7625389,-14.9%,+25.7%,38,Tron: Ares,3224133,2025-12-21
Oct 13Indig. Peoples' Day,8964266,-47.3%,+124%,43,Tron: Ares,3613933,2025-12-21
Oct 12,17004990,-25.9%,-12.6%,39,Tron: Ares,7913287,2025-12-21
Oct 11,22946328,-7.1%,-11.8%,39,Tron: Ares,10923092,2025-12-21
Oct 10,24700680,+660.2%,-13.7%,39,Tron: Ares,14405054,2025-12-21
Oct 9,3249409,-23.9%,-37.5%,33,One Battle After Another,992876,2025-12-21
Oct 8,4268384,-29.6%,-26.3%,35,One Battle After Another,1278628,2025-12-21
Oct 7,6064146,+51.6%,-32%,35,One Battle After Another,1788795,2025-12-21
Oct 6,4001363,-79.4%,-33.1%,36,One Battle After Another,1139412,2025-12-21
Oct 5,19457224,-25.2%,+10.4%,38,Taylor Swift: The Official Release Party of a Showgirl,8334596,2025-12-21
Oct 4,26013973,-9.1%,-5.5%,38,Taylor Swift: The Official Release Party of a Showgirl,9922644,2025-12-21
Oct 3,28628478,+450.7%,+19.1%,39,Taylor Swift: The Official Release Party of a Showgirl,15805534,2025-12-21
Oct 2,5198281,-10.2%,+15.7%,37,One Battle After Another,1704776,2025-12-21
Oct 1,5789869,-35%,+0.3%,36,One Battle After Another,2172084,2025-12-21
Sep 30,8911653,+49%,<0.1%,37,One Battle After Another,3457182,2025-12-21
Sep 29,5982819,-66.1%,+1.3%,37,One Battle After Another,2291717,2025-12-21
Sep 28,17623172,-36%,+3.7%,40,One Battle After Another,5150105,2025-12-21
Sep 27,27527210,+14.6%,+5.4%,41,One Battle After Another,7850050,2025-12-21
Sep 26,24030510,+434.8%,+7.8%,39,One Battle After Another,9000232,2025-12-21
Sep 25,4493345,-22.2%,-39.1%,35,Demon Slayer: Kimetsu no Yaiba Infinity Castle,1101749,2025-12-21
Sep 24,5774291,-35.2%,-38.1%,36,Demon Slayer: Kimetsu no Yaiba Infinity Castle,1487283,2025-12-21
Sep 23,8906274,+50.8%,-34.7%,36,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2186164,2025-12-21
Sep 22,5904361,-65.3%,-45.6%,36,Demon Slayer: Kimetsu no Yaiba Infinity Castle,1566910,2025-12-21
Sep 21,16999204,-34.9%,-49.8%,37,Demon Slayer: Kimetsu no Yaiba Infinity Castle,5370352,2025-12-21
Sep 20,26118871,+17.2%,-44.6%,38,Demon Slayer: Kimetsu no Yaiba Infinity Castle,7326408,2025-12-21
Sep 19,22285180,+201.8%,-62.4%,38,Him,6486440,2025-12-21
Sep 18,7383628,-20.8%,+42.4%,37,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2637292,2025-12-21
